Point,df_point
 0 (left pupil),1
 1 (right pupil),2
 2 (top of left iris),3
 3 (top-left of left iris),4
 4 (left of left iris),5
 5 (bottom-left of left iris),6
 6 (bottom of left iris),7
 7 (bottom-right of left iris),8
 8 (right of left iris),9
 9 (top-right of left iris),10
 10 (top of right iris),11
 11 (top-left of right iris),12
 12 (left of right iris),13
 13 (bottom-left of right iris),14
 14 (bottom of right iris),15
 15 (bottom-right of right iris),16
 16 (right of right iris),17
 17 (top-right of right iris),18
 18 (outside corner of left eye),19
 19 (top-left of left eye),20
 20 (top-centre of left eye),21
 21 (top-right of left eye),22
 22 (inside corner of left eye),23
 23 (inside corner of right eye),24
 24 (top-left of right eye),25
 25 (top-centre of right eye),26
 26 (top-right of right eye),27
 27 (outside corner of right eye),28
 28 (bottom-left of left eye),29
 29 (bottom-centre of left eye),30
 30 (bottom-right of left eye),31
 31 (bottom-left of right eye),32
 32 (bottom-centre of right eye),33
 33 (bottom-right of right eye),34
 34 (left of crease above left eye),35
 35 (centre-left of crease above left eye),36
 36 (centre of crease above left eye (above pupil)),37
 37 (centre-right of crease above left eye),38
 38 (right of crease above left eye),39
 39 (left of crease above right eye),40
 40 (centre-left of crease above right eye),41
 41 (centre of crease above right eye (above pupil)),42
 42 (centre-right of crease above right eye),43
 43 (right of crease above right eye),44
 44 (bottom-left of circle under left eye),45
 45 (centre of circle under left eye),46
 46 (top-right of circle under left eye),47
 47 (top-left of circle under right eye),48
 48 (centre of circle under right eye),49
 49 (bottom-right of circle under right eye),50
 50 (left side of bridge of nose (towards eyebrow)),51
 51 (left side of bridge of nose (in line with inside corners of eyes)),52
 52 (left side of bridge of nose),53
 53 (left side of bridge of nose),54
 54 (left side of tip of nose (most bulbous part)),55
 55 (bottom-centre of nose),56
 56 (right side of bridge of nose (towards eyebrow)),57
 57 (right side of bridge of nose (in line with inside corners of eyes)),58
 58 (right side of bridge of nose),59
 59 (right side of bridge of nose),60
 60 (right side of tip of nose (most bulbous part)),61
 61 (top of left outer nostril),62
 62 (upper-left of left outer nostril),63
 63 (lower-left of left outer nostril),64
 64 (bottom of left out nostril),65
 65 (left edge of left inner nostril),66
 66 (top of right outer nostril),67
 67 (upper-right of right outer nostril),68
 68 (lower-right of right outer nostril),69
 69 (bottom of right outer nostril),70
 70 (right edge of right inner nostril),71
 71 (left corner of left eyebrow),72
 72 (top of left eyebrow),73
 73 (top of left eyebrow),74
 74 (top of left eyebrow above pupil),75
 75 (top-right of left eyebrow),76
 76 (bottom-right of left eyebrow),77
 77 (bottom-left or right eyebrow),78
 78 (top-left of right eyebrow),79
 79 (top of right eyebrow above pupil),80
 80 (top of right eyebrow),81
 81 (top of right eyebrow),82
 82 (right corner of right eyebrow),83
 83 (bottom of left eyebrow),84
 84 (bottom of left eyebrow above pupil),85
 85 (bottom of right eyebrow above pupil),86
 86 (bottom of right eyebrow),87
 87 (left corner of the mouth),88
 88 (left of top of upper lip),89
 89 (left point of upper lip),90
 90 (centre of top of upper lip),91
 91 (right point of upper lip),92
 92 (right of top of upper lip),93
 93 (right corner of the mouth),94
 94 (left of bottom of upper lip),95
 95 (left-centre of bottom of upper lip),96
 96 (centre of bottom of upper lip),97
 97 (right-centre of bottom of upper lip),98
 98 (right of bottom of upper lip),99
 99 (left of top of lower lip),100
 100 (left-centre of top of lower lip),101
 101 (centre of top of lower lip),102
 102 (right-centre of top of lower lip),103
 103 (right of top of lower lip),104
 104 (left of bottom of lower lip),105
 105 (left-center of bottom of lower lip),106
 106 (centre of bottom of lower lip),107
 107 (right-centre of bottom of lower lip),108
 108 (right of bottom of lower lip),109
 109 (where top of left ear meets head),110
 110 (middle of where left ear meets head),111
 111 (where bottom of left ear meets head),112
 112 (where top of right ear meets head),113
 113 (middle of where right ear meets head),114
 114 (where bottom of right ear meets head),115
 115 (top of left ear),116
 116 (upper-middle outside of left ear),117
 117 (middle outside of left ear),118
 118 (lower-middle outside of left ear),119
 119 (bottom of left earlobe),120
 120 (top of right ear),121
 121 (upper-middle outside of right ear),122
 122 (middle outside of right ear),123
 123 (lower-middle outside of right ear),124
 124 (bottom of right earlobe),125
 125 (left jaw between ear and neck),126
 126 (where the left side of the neck meets the face),127
 127 (left jaw),128
 128 (bottom left corner of the chin),129
 129 (bottom centre of the chin),130
 130 (bottom right corner of the chin),131
 131 (right jaw),132
 132 (where the right side of the neck meets the face),133
 133 (right jaw between ear and neck),134
 134 (hairline),135
 135 (hairline),136
 136 (left temple hairline),137
 137 (hairline),138
 138 (hairline),139
 139 (centre of hairline),140
 140 (hairline),141
 141 (hairline),142
 142 (right temple hairline),143
 143 (hairline),144
 144 (hairline),145
" 145 (left side of the neck, about 3cm down from the jaw)",146
 146 (outside left earlobe (creates oval around head)),147
 147 (about 2cm to the left of the top of the left ear (creates oval around head)),148
 148 (outside left temple (creates oval around head)),149
 149 (top of head above left temple),150
 150 (top of head between left temple and centre),151
 151 (centre top of head),152
 152 (top of head between right temple and centre),153
 153 (top of head above right temple),154
 154 (outside right temple (creates oval around head)),155
 155 (about 2cm to the right of the top of the right ear (creates oval around head)),156
 156 (outside right earlobe (creates oval around head)),157
" 157 (right side of the neck, about 3cm down from the jaw)",158
 158 (top of left smile line),159
 159 (centre of left smile line),160
 160 (bottom of left smile line),161
 161 (top of right smile line),162
 162 (centre of right smile line),163
 163 (bottom of right smile line),164
 164 (top-left of left cheekbone),165
 165 (centre of left cheekbone),166
 166 (bottom-right of left cheekbone),167
 167 (top-right of right cheekbone),168
 168 (centre of right cheekbone),169
 169 (bottom-left of right cheekbone),170
 170 (top-left of philtrum),171
 171 (bottom-left of philtrum),172
 172 (top-right of philtrum),173
 173 (bottom-right of philtrum),174
 174 (top of chin dimple),175
 175 (bottom of chin dimple),176
 176 (left of horizontal crease under chin),177
 177 (centre of horizontal crease under chin),178
 178 (right of horizontal crease under chin),179
